,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20,18-Jun-20
JHARKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,5,4,2,0,0,2,1,5,0,6,4,4,0,37,0,0,1,8,0,10,16,0,14,0,2,7,0,5,7,0,5,0,0,63,40,0,40,0,1,69,69,38,17,29,40,33,38,55,131,89,95,121,30,47
JAMMU AND KASHMIR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,10,14,6,2,4,9,5,15,10,11,0,17,3,25,27,12,16,24,31,7,33,16,17,2,13,29,4,15,44,28,11,19,28,29,33,34,38,31,6,36,54,35,0,24,21,5,16,33,19,19,7,54,41,38,40,90,108,182,165,149,266,183,120,215,177,133,230
KARNATAKA,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,2,1,2,0,0,1,8,5,3,2,4,5,15,6,11,9,2,6,16,7,1,17,2,14,7,6,24,11,14,9,13,22,20,22,28,10,23,12,10,10,36,4,7,18,9,20,16,13,21,13,13,15,26,11,46,51,59,17,53,60,103,221,100,75,111,106,83,280,159,309,164,257,114,464,208,312,174,322,348,179
KERALA,3,0,0,0,0,0,0,0,0,0,1,0,7,0,1,4,4,4,2,2,14,8,6,3,12,13,13,27,19,36,19,13,7,27,10,2,13,21,16,1,8,15,7,4,13,4,10,14,9,8,1,61,0,7,5,10,1,4,0,0,1,3,0,4,0,0,0,5,8,2,3,5,12,10,10,3,10,10,15,18,19,24,39,22,50,41,11,34,57,62,32,46,56,73,60,90,89
LADAKH,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,4,4,10,12,2,3,7,3
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,0,0,0,0,0,0,0,0,0,0,0,1,0,18,6,0,14,0,0,3,8,2,4,14,9,38,8,63,20,9,12,30,36,5,31,34,142,65,150,67,51,117,119,112,94,106,205,180,106,121,115,350,354,275,207,169,330,399,587,339,422,542,475,524,600,749,1202,679,1408,857,821,1196,1186,1168,964,698,8381,1084,1248,779,1225,996,1352,1466,2243,1924,1661,1664,1877,1562,1718,1550,1632,5071,1802,1315,1672
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,1,3,0,2,3,1
MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,3,24,0,0,14,0,6,6,0,9,0,0,18,60,8,33,7
MADHYA PRADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,4,0,12,1,3,10,13,0,6,0,57,4,7,10,4,51,7,71,21,55,16,88,21,42,100,174,58,144,99,132,118,131,196,71,113,144,167,112,32,88,32,196,103,110,245,178,141,163,118,238,123,219,175,398,161,218,224,192,241,230,223,205,193,163,150,159,176,300,226,249,236,244
